State,State Code,2013 Urbanization,2013 Urbanization Code,Ten-Year Age Groups,Age Group Midpoint,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,% of Total Deaths
Massachusetts,25,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,2291,0,0.00%
Massachusetts,25,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,2291,0,0.00%
Nevada,32,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,6380,0,0.00%
Nevada,32,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,6380,0,0.00%
New Hampshire,33,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,6472,0,0.00%
New Hampshire,33,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,6472,0,0.00%
Alaska,2,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,9633,0,0.00%
Alaska,2,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,9633,0,0.00%
West Virginia,54,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,10361,0,0.00%
West Virginia,54,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,10361,0,0.00%
Nevada,32,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,11383,0,0.00%
Nevada,32,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,11383,0,0.00%
Maryland,24,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,12189,0,0.00%
Maryland,24,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,12189,0,0.00%
Arkansas,5,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,13897,0,0.00%
Arkansas,5,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,13897,0,0.00%
Massachusetts,25,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,14573,0,0.00%
Massachusetts,25,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,14573,0,0.00%
Maryland,24,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,15465,0,0.00%
Maryland,24,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,15465,0,0.00%
Oregon,41,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,17710,0,0.00%
Oregon,41,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,17710,0,0.00%
Utah,49,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,17750,0,0.00%
Utah,49,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,17750,0,0.00%
New Mexico,35,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,18026,0,0.00%
New Mexico,35,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,18026,0,0.00%
Maine,23,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,21066,0,0.00%
Maine,23,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,21066,0,0.00%
Arizona,4,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,24409,0,0.00%
